genus,group,indval,pvalue,freq,relfreq1,relfreq2,relabund1,relabund2
Spirulina,1,0.018,0.775,35,0.029,0.033,0.625,0.375
Amphidinium,1,0.018,0.138,20,0.024,0.005,0.735,0.265
Pseudostaurosira,1,0.017,0.033,13,0.017,0,1,0
Stipitococcus,1,0.016,0.037,12,0.016,0,1,0
Strombomonas,1,0.015,0.035,11,0.015,0,1,0
Gomontiella,1,0.015,0.032,11,0.015,0,1,0
Glenodinium,1,0.014,0.247,16,0.016,0.01,0.86,0.14
Centritractus,1,0.013,0.04,10,0.013,0,1,0
Neidium,1,0.013,0.095,11,0.013,0.003,0.972,0.028
Stigeoclonium,1,0.012,0.095,10,0.012,0.003,0.996,0.004
Rhopalodia,1,0.011,0.187,11,0.012,0.005,0.96,0.04
Ulothrix,1,0.011,0.464,13,0.012,0.01,0.919,0.081
Borzia,1,0.011,0.096,8,0.011,0,1,0
Sorastrum,1,0.011,0.093,8,0.011,0,1,0
Rhabdoderma,1,0.011,0.217,9,0.011,0.003,0.991,0.009
Stylochrysalis,1,0.01,0.128,9,0.011,0.003,0.981,0.019
Urosolenia,1,0.01,0.1,9,0.011,0.003,0.979,0.021
Diatoma,1,0.01,0.391,12,0.012,0.008,0.796,0.204
Coscinodiscus,1,0.009,0.123,7,0.009,0,1,0
Geitlerinema,1,0.009,0.108,7,0.009,0,1,0
Skeletonema,1,0.009,0.124,7,0.009,0,1,0
Nannochloris,1,0.008,0.199,8,0.009,0.003,0.904,0.096
Peroniella,1,0.008,0.123,6,0.008,0,1,0
Phaeoplaca,1,0.008,0.159,6,0.008,0,1,0
Protoderma,1,0.008,0.151,6,0.008,0,1,0
Tribonema,1,0.008,0.155,6,0.008,0,1,0
Tryblionella,1,0.008,0.14,6,0.008,0,1,0
Microspora,1,0.008,0.204,7,0.008,0.003,0.995,0.005
Botrydiopsis,1,0.007,0.266,5,0.007,0,1,0
Campylodiscus,1,0.007,0.248,5,0.007,0,1,0
Coccomonas,1,0.007,0.273,5,0.007,0,1,0
Gloeotrichia,1,0.007,0.254,5,0.007,0,1,0
Hannaea,1,0.007,0.254,5,0.007,0,1,0
Meridion,1,0.007,0.257,5,0.007,0,1,0
Oedogonium,1,0.007,0.284,5,0.007,0,1,0
Pleurogaster,1,0.007,0.298,5,0.007,0,1,0
Diploneis,1,0.006,0.367,6,0.007,0.003,0.92,0.08
Rhoicosphenia,1,0.006,0.396,6,0.007,0.003,0.896,0.104
Lagerheimia,1,0.006,0.451,7,0.007,0.005,0.872,0.128
Homoeothrix,1,0.005,0.239,4,0.005,0,1,0
Sphaerodinium,1,0.005,0.264,4,0.005,0,1,0
Caloneis,1,0.005,0.268,4,0.005,0,1,0
Cymatopleura,1,0.005,0.578,6,0.005,0.005,0.93,0.07
Ophiocytium,1,0.005,0.61,5,0.005,0.003,0.92,0.08
Campylomonas,1,0.004,0.605,6,0.007,0.003,0.651,0.349
Craticula,1,0.004,0.486,3,0.004,0,1,0
Docidium,1,0.004,0.474,3,0.004,0,1,0
Heteroleibleinia,1,0.004,0.459,3,0.004,0,1,0
Hippodonta,1,0.004,0.405,3,0.004,0,1,0
Nodularia,1,0.004,0.456,3,0.004,0,1,0
Nupela,1,0.004,0.472,3,0.004,0,1,0
